tree	path	bytes	sha256	source_url	retrieved_from
siramy	_divers/d2_gif_palettes/d2-sky.gif	1087	3fc4575669370c64450730cbda094fed2102925fb2b1d08afea6a5bbc39c662c	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-sky.gif	live
siramy	_divers/d2_gif_palettes/d2-static.gif	1087	51183cc0308ea43ac75070b2aaf4979fdbdeb2edee5c0a44efcfac1a2ba1631d	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-static.gif	live
siramy	_divers/d2_gif_palettes/d2-trademark.gif	1087	5602274308469813fcbb2976881238947a4672fb6c4cefe224791a4e52afe542	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-trademark.gif	live
siramy	_divers/d2_gif_palettes/d2-units.gif	1087	2d7ccdc9a313cf2305a8b59f99a40a86ac1cde73884e7cc1b886add7adbec109	http://paul.siramy.free.fr/_divers/d2_gif_palettes/d2-units.gif	live
siramy	_divers/ds1/demo1.gif	12511	7f20ef2c98badc8d0626c798494ad7c29b62a34bc55885a245085f66fedd6a74	http://paul.siramy.free.fr/_divers/ds1/demo1.gif	live
siramy	_divers/ds1/demo1_small.gif	3740	0768290d7e713b9dcd5c6bfae9191fc752d9c9e715079b51a83c22ff6f0a9689	http://paul.siramy.free.fr/_divers/ds1/demo1_small.gif	live
siramy	_divers/ds1/demo2.gif	11186	8650cc21677276bbfbef3d8e02d1709220fb462ee65ed058d9b9b37e975ba1cf	http://paul.siramy.free.fr/_divers/ds1/demo2.gif	live
siramy	_divers/ds1/demo2_small.gif	3986	e23cb3c18356d2378214cdd748e5c5f83ef60a8957bb88e33c5c241e6cfb3576	http://paul.siramy.free.fr/_divers/ds1/demo2_small.gif	live
siramy	_divers/ds1/demo3.gif	347904	3fe5c712aca90d8e8c17f3ff3ac4777a9de3a5588ec1b5435803facf5e4721e2	http://paul.siramy.free.fr/_divers/ds1/demo3.gif	live
siramy	_divers/ds1/demo3_small.gif	17156	1c44730a822a55059ba69a08180c96117a6a86dd308cd4abad43b594f1d773fd	http://paul.siramy.free.fr/_divers/ds1/demo3_small.gif	live
siramy	_divers/ds1/demo4.gif	34576	5a3d075af9aa90302f3d9db511b0a06d651f85aa5db611abb33477f57fe9ccab	http://paul.siramy.free.fr/_divers/ds1/demo4.gif	live
siramy	_divers/ds1/demo4_small.gif	4683	0a49d685ae0ccfe8f26f032a5cd364fc20e53fc0895125977861457343b73b43	http://paul.siramy.free.fr/_divers/ds1/demo4_small.gif	live
siramy	_divers/ds1/dl_ds1edit.html	10306	a3c1fe1944308f4eaa0bfba65a16f5c251f337f32d33a55beb61ef8250a807f6	http://paul.siramy.free.fr/_divers/ds1/dl_ds1edit.html	live
siramy	_divers/ds1/doc/area0_big.gif	318242	f37a85af58450373264a9dbaf0513cde9e1da691c314fda66bcf885b099e434f	http://paul.siramy.free.fr/_divers/ds1/doc/area0_big.gif	live
siramy	_divers/ds1/doc/area0_small.gif	22993	8c5b54cfdf4aa58c63e2636c2b04eac29cd1954a524b43ce3d2eeb83f5e12562	http://paul.siramy.free.fr/_divers/ds1/doc/area0_small.gif	live
siramy	_divers/ds1/doc/area10_big.gif	313579	eeb688ae903dde0cda779ea2556d5956717898b2d0a2bb8e516055ec3079372d	http://paul.siramy.free.fr/_divers/ds1/doc/area10_big.gif	live
siramy	_divers/ds1/doc/area10_small.gif	21559	544ac155d1d1efc40460aba50293c73d7d8bc97be6f98f31958d0688216f0e70	http://paul.siramy.free.fr/_divers/ds1/doc/area10_small.gif	live
siramy	_divers/ds1/doc/area1_big.gif	327957	ffee58d7f2e402b15b90ca68af1506dcabf21d1fdc195626cce59074fc6b6122	http://paul.siramy.free.fr/_divers/ds1/doc/area1_big.gif	live
siramy	_divers/ds1/doc/area1_small.gif	21947	79239e6029c1afcf83bd5413ff963f623043146a307fdfd68afebbedcb40d585	http://paul.siramy.free.fr/_divers/ds1/doc/area1_small.gif	live
siramy	_divers/ds1/doc/area2_big.gif	315930	f34a6b1ffcb648d6e27540f5cdf6f9394a16477b65fb274ee3c49629c1e6e29a	http://paul.siramy.free.fr/_divers/ds1/doc/area2_big.gif	live
siramy	_divers/ds1/doc/area2_small.gif	22453	d6648086e039e0703655f5896d7cc5a4c5e1074327d2dcc543ca6a490232ac45	http://paul.siramy.free.fr/_divers/ds1/doc/area2_small.gif	live
